trial_nr,protocol,article_id,title,web_url,protocol_published_original_column,study_type_pilot,pooled_analysis,post_hoc_secondary_analysis,discipline,continent,sample_size,cci_mismatch_analysis,cd_cci_reported_in_results,cci_modification,specification_of_modification,primary_outcome_significant,statistically_significant_difference_for_cci,between_group_difference_of_cci_12,between_group_difference_of_cci,mean_or_median_used,significance_considered,conclusion_of_authors,protocol_published,study_must_be_excluded,exclusion_reason,comments,comments_2,doi,publication_year,cci_ep,cci_1st_ep,cci_2nd_ep,cci_expl_ep,ss_calculation,cci_used_for_ss_calculation,specification_of_ss_calculation,study_type_mentioned,type_of_study_sup_non_inf,non_inf_margin,definition_of_non_inf_margin
NCT05392452,Publication,59,"Perioperative Fully Closed-loop Versus Usual Care Glucose Management in Adults Undergoing Major Abdominal Surgery A Two-centre Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205759947&doi=10.1097%2fSLA.0000000000006549&partnerID=40&md5=62fc7d7f26b8937b13d695640c5bcbf3
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,38,NA,Yes,No,na,Yes,NA,Yes,17.4,Mean,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = % time glucose concentration in target, difference of 20%",10.1097/SLA.0000000000006549,2025,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size was calculated to ensure a power of 90% to detect a clinically significant between-group difference of 20 percentage points in the primary outcome. The calculation was based on the assumption of a within-group SD of 16.3% and using a 2-sided t test at an alpha level of 0.05. The SD was estimated based on the results of a previous trial conducted in a similar setting.28 This resulted in a target sample size of 30 participants. Accounting for a drop-out rate of 10% and 10% of participants with < 48 hours of data, we aimed to enroll 38 participants (n = 19 in each group).",No,Not mentioned,NA,NA
NCT04397783,Publication,64,"Fascial incision shapes and paracolostomy hernia: cruciate vs. reinforced longitudinal (the “Hepworth hitch”): longcross randomized controlled trial (GECO2 STUDY)
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010191571&doi=10.1007%2fs00384-025-04939-1&partnerID=40&md5=ffe3d3b02ab3e422ae6f636b459213e6
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,95,NA,Yes,No,na,No,No,No,5.7,Median,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = reduction from 50% to 20% of rates of parastomal hernia (PH) at 2 years,10.1007/s00384-025-04939-1,2025,CCI non-primary endpoint,No,Yes,No,Yes,No,"The primary objective of the study was to assess whether there were statistically significant differences between the two colostomy techniques. Assuming a clinical incidence of parastomal hernia (PH) of 50% with the conventional crossshaped incision and an expected incidence of 20% with the reinforced longitudinal incision, a type I error (α) of 0.05, and a power of 80% (β=0.20), the required sample size was calculated to be 84 patients (42 in each group). Accounting for an expected 10% loss to follow-up, the total sample size was adjusted to 94 patients (48 in each group).",Yes,Superiority trial (explicited),NA,NA
NCT06510088,Publication,67,"Prognostic impact of a 3-week multimodal prehabilitation program on frail elderly patients undergoing elective gastric cancer surgery: a randomized trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209476112&doi=10.1186%2fs12876-024-03490-7&partnerID=40&md5=05f18865851b661a7278cae0b6a38921
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,126,NA,Yes,No,na,No,No,No,0,Median,NA,Neutral,"No protocol,registry",No,NA,used mean and median. In initial protocol they defined co-primary EP,NA,10.1186/s12876-024-03490-7,2024,CCI primary endpoint,Yes,No,No,Yes,Yes,"An intention-to-treat population analysis was conducted. The calculation for the sample size was derived from the mean (standard deviation, SD) CCI (10.5 [14]) observed in our population, with a 30% reduction in the CCI deemed clinically significant. By employing an α of 0.05, a power of 0.90 (2-sided test), and accounting for an anticipated dropout rate (e.g., surgeries not performed) of 10%, the target was set to enroll 120 participants (60 per group).",No,Not mentioned,NA,NA
NCT04247776,Publication,83,"A multimodal prehabilitation class for Enhanced Recovery After Surgery: a pragmatic randomised type 1 hybrid effectiveness-implementation trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002137255&doi=10.1016%2fj.bja.2025.03.001&partnerID=40&md5=05a0a57c188019c76d0b122db169fe76
",NA,Not pilot study,No,No,Abdominal Surgery,North America,110,NA,Yes,Yes,CCI for all and for those suffering a complication,No,Yes,No,8.7,Median,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = LOS difference 2 days; also CCI in mean difference of 0.1 (p>.05), whereas CCI in median difference of 8.7 (p<.05)",10.1016/j.bja.2025.03.001,2025,CCI non-primary endpoint,No,Yes,No,Yes,No,"Our sample size calculation is based on historical site-specific data (Martin 2019). At our institution, LOS is a median 5 [interquartile range, IQR: 4.0] days for colorectal surgery. We previously determined that risk of malnutrition was associated with prolonged LOS (median 6.0 [IQR 5.0] days), in part due to poor adherence to the ERAS care elements. Likewise, preoperative interventions to mitigate malnutrition reduced LOS by 2 days in a meta-analysis of 914 colorectal surgery patients (Gillis 2018). As such, we hypothesized that by participating in the prehabilitation program, preoperative malnutrition and adherence to the ERAS guidelines would improve, thereby reducing LOS. An estimated 200 patients are required to achieve a reduction in LOS by 2 days with a power of 80% and an α-error of 0.05. With an estimated 20% attrition (conservative given reduced follow-up and low participant burden of the trial), we would need to recruit 240 participants.",No,Not mentioned,NA,NA
NCT00356213,Publication,88,"Long-Term Outcomes of Laparoscopic Roux-en-Y Gastric Bypass vs Laparoscopic Sleeve Gastrectomy for Obesity: The SM-BOSS Randomized Clinical Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000138356&doi=10.1001%2fjamasurg.2024.7052&partnerID=40&md5=3ea5979c2d053cd07ccb8587eae9a061
",NA,Not pilot study,No,Yes,Abdominal Surgery,Europe,225,NA,Yes,No,na,Yes,No,No,1,Mean,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = EBMIL for a minimal detectable difference of 10% in excessive BMI loss,10.1001/jamasurg.2024.7052,2025,CCI non-primary endpoint,No,Yes,No,Yes,No,"The power estimation for %EBMIL was based on the assumptions of equal variances in both treatment groups, a pooled standard deviation of 20%, a base effect of excess BMI loss at 5 years of 50% in the control group and a minimum detectable difference of an additional 10%, and an α = .05. A sample size of 100 patients per group was estimated to provide a power of 94% to reject the null hypothesis of equal means using a 2-sided, 2-sample equal-variance t test.18,19 According to a meta-analysis, a difference of 10% in %EBMIL resulted in a superior T2D remission rate when comparing gastric banding, RYGB, and biliopancreatic diversion.20 Therefore, a minimal difference of 10% %EBMIL was considered clinically relevant. ",No,Not mentioned,NA,NA
REF/2021/08/046152,Publication,96,"Multicenter Randomised Controlled Trial of Single Versus Double Venous Outflow Reconstruction in Right Lobe Living Donor Liver Transplantation: Venous Outflow in Liver Transplantation Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005201147&doi=10.1097%2fSLA.0000000000006601&partnerID=40&md5=8783e95db3dae941f493e3af8c965b24
",NA,Not pilot study,No,No,Transplant,Asia,219,NA,Yes,No,na,No,No,No,0.4,Mean,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = neo middle hepatic vein 6-week patency, difference of 20%; in this respect study's main outcome was patency UP TO 6 weeks… in their analysis patency at 1 week non-significantly different, but then at 2 weeks and 4 weeks different, and at 6 weeks no longer different.",10.1097/SLA.0000000000006601,2025,CCI non-primary endpoint,No,Yes,No,Yes,No,"here is a wide variation in neoMHV patency rates reported in the LDLT literature. Assuming an average 6-week patency rate of 70% for all reconstructions, we postulated that a 20% difference in patency between the two groups could be considered clinically significant. With an alpha of 0.05 and power of 80%, the minimum sample size was calculated as 190 patients allocated equally to both outflow groups. A sample size of 220 patients was planned to account for a 15% drop-out. Each enrolled patient was linked to a unique alpha-numeric code provided by the Study randomizer application at the time of enrollment. Once the sample size was reached further, enrollment was stopped and enrolled patients were followed until the primary endpoint was reached.",No,Not mentioned,NA,NA
NCT02857855,Publication,101,"Postoperative Supplemental Oxygen in Liver Transplantation (PSOLT) does not reduce the rate of infections: results of a randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147970721&doi=10.1186%2fs12916-023-02741-w&partnerID=40&md5=c29275674cd7b9424edba4a5c54686d5
",NA,Not pilot study,No,No,Transplant,Europe,193,NA,Yes,No,na,No,No,No,1.6,Median,NA,NA,"No protocol,registry",No,NA,na,NA,10.1186/s12916-023-02741-w,2023,CCI non-primary endpoint,No,Yes,No,Yes,No,"The hypothesis was that provision of 80% FiO2 reduces the risk of postoperative infections from 40% to 24% (40% relative risk reduction, basing on Belda et al. study [10]). Sample size calculation based on thresholds for type I and type II errors of 0.05 and 0.20 with anticipated dropout rate of 10% resulted in 296 patients (148 patients in",No,Not mentioned,NA,NA
NCT02248519,Publication,117,"The Comprehensive Complication Index versus Clavien-Dindo grading after laparoscopic and open D2-gastrectomy in the multicenter randomized LOGICA-trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175266860&doi=10.1016%2fj.ejso.2023.107095&partnerID=40&md5=0a9c25d76269d850787dd1efc0cbf4a9
",NA,Not pilot study,No,Yes,Abdominal Surgery,Europe,211,postoperative hospital stay in primary analysis. Now 2nd analysis…,Yes,No,na,No,No,No,0,Median,NA,Neutral,Protocol published,No,NA,secondary analysis. Initial primary EP was Length of hospital stay. CCI not even mentioned in the initial protocol and study,NA,10.1016/j.ejso.2023.107095,2023,CCI primary endpoint,Yes,No,No,No,NA,NA,No,Not mentioned,NA,NA
NCT05567094,Publication,129,"The Effect of Perioperative Dexamethasone on Postoperative Complications after Pancreaticoduodenectomy: A Multicenter Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193407432&doi=10.1097%2fSLA.0000000000006240&partnerID=40&md5=b0cdc2b6d3abffe2b330f3caa0578fed
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Asia,300,NA,Yes,No,na,No,No,No,3.9,Mean,NA,Neutral,Protocol published,No,NA,NA,NA,10.1097/SLA.0000000000006240,2024,CCI primary endpoint,Yes,No,No,Yes,Yes,"A recent large trial conducted in 34 French centers (the PACMAN trial) showed that perioperative 0.2 mg/kg dexamethasone reduced morbidities and mortalities by almost 30% in nonthoracic surgeries.14 In addition, the Finnish trial reported that perioperative hydrocortisone reduced major complications after pancreaticoduodenectomy by more than 50% in high-risk patients.17 Therefore, we hypothesized that perioperative dexamethasone could reduce overall complications in the entire cohort by at least 30%. The overall morbidity after pancreaticoduodenectomy, including Clavien-Dindo grades I to V, has been reported to be at least 60%.3,25–27 We chose the CCI as the primary outcome because it is more sensitive and requires a smaller sample size compared with the Clavien-Dindo classification in clinical trials.19 We estimated that the enrolment of 128 patients per arm would provide 80% power with an α-error of 0.05 to detect a 30% relative reduction in the rate of postoperative complications. The final sample size was set at 300 to account for a 20% dropout or protocol deviation.",No,Not mentioned,NA,NA
NCT04281667,Publication,131,"Morbidity after Mechanical Bowel Preparation and Oral Antibiotics Prior to Rectal Resection: The MOBILE2 Randomized Clinical Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190260619&doi=10.1001%2fjamasurg.2024.0184&partnerID=40&md5=b2bafc5dee65896bdc3b27a44fcf1e9f
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,610,NA,Yes,No,na,Yes,Yes,No,8.7,Median,Both statistical and clinical significance,Favorable to intervention,Protocol published,No,NA,NA,NA,10.1001/jamasurg.2024.0184,2024,CCI primary endpoint,Yes,No,No,Yes,Yes,"The sample size calculation was based on the baseline risk of deep incisional and organ or space SSIs in anterior rectal resections performed at Helsinki University Hospital between 2005 and 2011 (approximately 13%)24 and in our group’s previous trial that recruited patients for colon surgery (the MOBILE1 trial; approximately 6% to 8%).25 The mean (SD) CCIs in the 2 groups in the MOBILE1 trial were 9 (16) points and 10 (13) points. Therefore, we estimated that both the CCI and SD would be higher in patients undergoing rectal surgery than in those undergoing colon surgery. The sample size was calculated with the aim of showing a difference of 5 CCI points between the 2 groups (hypothesis: a mean [SD] 12.5 [18] points in the MOABP group and 17.5 [18] points in the MBP plus placebo group). With a power of 90% and a margin of error of 5%, 574 patients needed to be recruited (Wilcoxon-Mann-Whitney test). About 5% of patients were estimated to be excluded after randomization, resulting in a final sample size goal of 604 patients.19",No,Not mentioned,NA,NA
NCT01441856,Publication,146,"Laparoscopic Versus Open Hemihepatectomy: The ORANGE II PLUS Multicenter Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191736660&doi=10.1200%2fJCO.23.01019&partnerID=40&md5=e1dcc7f9b2e8212e56986ff9daec006b
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,352,NA,Yes,Yes,rate of CCI >0,Yes,NA,NA,NA,NA,NA,NA,Protocol unpublished,No,NA,NA,sample size calculated not based on main outcome (no data) but secondary outcome = LOS,10.1200/JCO.23.01019,2024,CCI non-primary endpoint,No,Yes,No,Yes,No,"Anticipating a drop-out rate of 10% and a loss in df for estimating covariate effects (hemihepatectomy side and center), a total sample size of 250 patients was planned to demonstrate a 2-day reduction in time to functional recovery with a two-sided 4% level of significance and a power of 80%, assuming a standard deviation (SD) of time to functional recovery of 5 days within both groups.29,30 A two-sided 4% level of significance was used instead of 5% to compensate for the planned interim analysis halfway through the trial with a two-sided 1% level of significance, thus preserving an overall type I error rate of 5%.31",Yes,Superiority trial (explicited),NA,NA
DRKS00027531,Publication,148,"Robotic versus laparoscopic hepatectomy for liver malignancies (ROC'N'ROLL): a single-centre, randomised, controlled, single-blinded clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197272340&doi=10.1016%2fj.lanepe.2024.100972&partnerID=40&md5=062eb229c4df97a0c432a257ec295ca9
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,81,NA,Yes,No,na,No,No,No,6.6,Mean,NA,NA,Protocol unpublished,No,NA,NA,sample size calculated based on main outcome = QoL within 90 days after surgery with mean difference of 13%,10.1016/j.lanepe.2024.100972,2024,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size was based on the hypothesis of a higher QoL after RH within 90 days after surgery as compared to LH. A mean difference of 13% (standard deviation 20) in the role functioning scale was deemed clinically meaningful and used for power calculation in line with previous trials on quality of life after liver surgery.7,28, 29, 30, 31 The approach of sample size calculation based on clinically meaningful differences on the QoL scale was in line with other randomised trials using QoL as primary endpoint.32, 33, 34 A total of 76 patients (38 in each arm) provided 80% power (α = 0.05) to detect this difference with a two-sided significance. We anticipated an exclusion rate of 15% after randomization due to withdrawals, unresectability, or loss to follow-up, and thus anticipated enrolling 90 patients.",No,Not mentioned,NA,NA
ChiCTR2100045052,Publication,149,"Early mobilization after pancreatic surgery: A randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199485694&doi=10.1016%2fj.surg.2024.06.027&partnerID=40&md5=55efdb8ff057bc96c51264f9c07b0fb5
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,140,postoperative complication (no classificaiton),Yes,No,na,No,No,No,1.7,Mean,NA,Neutral,"No protocol,registry",No,NA,"used median, but then mean difference?",NA,10.1016/j.surg.2024.06.027,2024,CCI primary endpoint,Yes,No,No,Yes,Yes,"The sample size calculation was determined on the basis of the primary outcome, “CCI within 30 days after pancreatic surgery.” The CCI in pancreatic surgery is reported to be 20.9–24.2.4,17,26 We hypothesized to decrease the CCI by 10 points in the intervention group with a standard deviation of 20, which was considered the minimal important difference.27 A sample size of 63 patients per group was calculated using the 2-sided t test method (α = .05, β = .10) with PASS, version 11.0 (NCSS, LLC, East Kaysville, UT). A final sample size of 140 (70 per group) was determined, considering a 10% attrition rate for drop-out and loss to follow-up.",No,Not mentioned,NA,NA
NCT04057586,Publication,158,"Effects of nonintubated thoracoscopic surgery on postoperative neurocognitive function: a randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182261708&doi=10.1093%2fejcts%2fezad434&partnerID=40&md5=e74324dbf0d1deebeb16fc35ebb19ba7
",NA,Not pilot study,No,No,Thoracic,Asia,110,NA,Yes,No,na,Yes,Yes,No,2.9,Mean,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = neurocognitive functions via difference in Qmci-TW test score for a median score of 5,10.1093/ejcts/ezad434,2024,CCI non-primary endpoint,No,Yes,No,Yes,No,"The primary outcome was perioperative difference in neurocognitive scores, namely scores on the Qmci-TW test. We calculated the minimum requisite sample size for detecting a difference in Qmci-TW test score for a median score of 5 and an assumed standard deviation of 6 [13, 15] in the treatment group using the method proposed by O’Keeffe et al. [16]. This method prevents overestimates of the sample size because postoperative long-term neurocognitive test is associated with a high dropout rate. Subsequently, a total of 62 patients (31 patients in each group) would provide a power of 0.9 and a two-sided type I error of 0.05. We expected longer-term attrition from loss to follow-up or a withdrawal rate of 35%. Accordingly, a total of 110 participants were enrolled, and we expected to enrol >64 patients to complete the postoperative neurocognitive test at 6 months.",No,Not mentioned,NA,NA
NCT03901937,Publication,163,"Parenteral n–3 polyunsaturated fatty acids supplementation improves postoperative recovery for patients with Crohn's disease after bowel resection: a randomized, unblinded controlled clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187560008&doi=10.1016%2fj.ajcnut.2023.12.022&partnerID=40&md5=02bfad26fc7f1e3f744e9180c10c39dd
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,268,NA,Yes,Yes,"CCI, CCI for patients with complications",Yes,Yes,No,0,Median,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = incidence of postoperative complications reduction from 40% to 20%;despite difference CCI of 0, p <0.001; CCI for patients with complications, PP: difference CCI of 3.2pts, p=0.011",10.1016/j.ajcnut.2023.12.022,2024,CCI non-primary endpoint,No,Yes,No,Yes,No,"On the basis of our previous studies and other studies [25–27], the incidence of postoperative complications after CD surgery was almost 40%[28]. To reduce the incidence of postoperative complications from 40%to20%according to other studies of n–3 PUFAs in cancer surgery [27,29,30], it was calculated that 105 patients per study arm would be required with a 2-sided significance level of 0.05 and a power of 90%. A total sample size comprising 232 patients was needed for the study with an estimated dropout rate of 10%.",No,Not mentioned,NA,NA
ACTRN12621000530820,Publication,174,"Pyridostigmine to Reduce the duration of postoperative Ileus after Colorectal surgery (PyRICo-RCT): randomized clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193207851&doi=10.1093%2fbjs%2fznae121&partnerID=40&md5=d075f3e0f153dc08d5478a7bd3b765d1
",NA,Not pilot study,No,No,Abdominal Surgery,Australia/ New Zealand,130,NA,Yes,No,na,Yes,No,No,1.7,Median,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome =  1-day reduction in GI-2,10.1093/bjs/znae121,2024,CCI non-primary endpoint,No,Yes,No,Yes,No,"A power calculation was performed a priori using the best available GI-2 data from the STIMULAX trial (mean (s.d.), 2 days (1.85))13. A 1-day reduction in GI-2 was anticipated. A sample size of 58 patients per arm was determined using a two-tailed independent-samples Wilcoxon–Mann–Whitney (non-parametric) test for the difference between two independent groups (α error 0.05, β error 0.2, power 0.8, effect 0.54) and a 1 : 1 allocation. To account for potential attrition, withdrawals, and protocol violations, 130 patients were recruited to the study",No,Not mentioned,NA,NA
NCT04223401,Publication,179,"Effect of home-based prehabilitation on postoperative complications after surgery for gastric cancer: randomized clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176508400&doi=10.1093%2fbjs%2fznad312&partnerID=40&md5=eab9ba192b5fb25be3c618f17ba25063
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,128,NA,Yes,No,NA,Yes,Yes,No,8.9,Mean,NA,NA,Protocol published,No,NA,NA,sample size calculated based on main outcome = % of patients with postop complications (based on historical RCT),10.1093/bjs/znad312,2023,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size calculation was done using G∗Power 3.1.9.4 software, with reduction in 90-day postoperative complication rates as the primary outcome. The percentage of patients developing postoperative complications after gastrectomy was estimated at 50 per cent for the control group, based on historical experience at the authors’ centres and results from previous RCTs24,25. Based on the results of a recent RCT8, a 50 per cent reduction in complications (to achieve a 25 per cent complication rate) was predicted for the prehabilitation group. Hence, a group sample size of 58 patients was needed to achieve 80 per cent power in detecting a difference with a two-sided level of significance of 5 per cent. Assuming a drop-out rate of up to 10 per cent, a total of 128 patients (64 per group) were needed to be enrolled in the study.",No,Not mentioned,NA,NA
NCT03785743,Publication,184,"Short-Term Outcomes Following Laparoscopic vs Open Pancreaticoduodenectomy in Patients with Pancreatic Ductal Adenocarcinoma: A Randomized Clinical Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179476999&doi=10.1001%2fjamasurg.2023.5210&partnerID=40&md5=d9693bb62b97b836abc5e623715912a1
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,200,NA,Yes,No,na,NA,No,No,8.7,Median,NA,NA,Protocol published,No,NA,non-inferiority,sample size calculated based on main outcome = 5-year OS rate,10.1001/jamasurg.2023.5210,2023,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size was calculated based on the primary end point and the noninferiority design of this trial. The details of the calculation were described in the protocol.8 Accordingly, 100 patients in each arm and 200 patients in total were included for randomization.",Yes,Non-inferiority trial (explicited),No,NA
DRKS00016755,Publication,187,"Postoperative Complications and Mobilization Following Major Abdominal Surgery with Versus Without Fitness Tracker-based Feedback (EXPELLIARMUS): A Student-led Multicenter Randomized Controlled Clinical Trial of the CHIR- Net SIGMA Study Group
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198084238&doi=10.1097%2fSLA.0000000000006232&partnerID=40&md5=18fe5ee1ea966bd50b2a730f39e737d9
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,347,NA,Yes,No,na,No,No,No,1,Mean,NA,Neutral,Protocol published,No,NA,NA,NA,10.1097/SLA.0000000000006232,2024,CCI primary endpoint,Yes,No,No,Yes,Yes,"The sample size calculation was based on the primary end point “CCI within 30 days after the index operation.” Assumptions were based on the literature:26,27,32 a decrease of 10 points in the CCI was considered relevant by patients and clinicians, and a conservative SD of 20 was assumed. The primary end point was tested simultaneously in the subgroup of patients who underwent minimally invasive surgery and the subgroup of patients who underwent open surgery with an expected ratio of occurrence in patients of 1:1 using a 2-sided t-test. Therefore, the overall 2-sided significance level of α=0.05 was adjusted by Bonferroni correction, yielding α=0.025 for each of the 2 subgroups. Thus, to achieve a power of 80%, a sample size of n=156 (78 per group) had been recruited per subgroup, with a total required sample size of the trial of n=312 (156 per therapy group). To compensate for drop-outs and loss-to-follow-up, another 10% of patients were randomized, leading to a total sample size of n=348 (174 per group).",Yes,Superiority trial (explicited),NA,NA
NCT05023850,Publication,194,"Postoperative quality of recovery with erector spinae plane block or thoracolumbar interfascial plane block after major spinal surgery: a randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174890824&doi=10.1007%2fs00586-023-07998-6&partnerID=40&md5=2dfe21fa7527fd852223babd175cd2ac
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,60,NA,Yes,No,NA,No,No,No,1.75,Mean,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = difference in QoR-40 scores of 7.3 as a clinically important difference,10.1007/s00586-023-07998-6,2024,CCI non-primary endpoint,No,Yes,No,Yes,No,"The primary outcome of this study was the QoR-40 score at postoperative 24 h. We assume a difference in QoR-40 scores of 7.3 as a clinically important difference because this difference was reported as a minimum of 6.3 with a standard deviation of 10 using the QoR40 as a recovery tool in major spinal surgery [11, 12]. Therefore, a total of 30 patients per group were required to provide 80% power at a two-sided significance level of 0.05.",No,Not mentioned,NA,NA
NCT04812054,Publication,216,"Routine End-ischemic Hypothermic Oxygenated Machine Perfusion in Liver Transplantation From Donors After Brain Death: A Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173276886&doi=10.1097%2fSLA.0000000000006055&partnerID=40&md5=be064e050a41640df03f553e10261723
",NA,Not pilot study,No,No,Transplant,Europe,104,NA,Yes,No,0,No,No,No,0.9,Median,NA,NA,"No protocol,registry",No,NA,NA,NA,10.1097/SLA.0000000000006055,2023,CCI non-primary endpoint,No,Yes,No,No,NA,NA,No,Not mentioned,NA,NA
TCTR20201203005,Publication,334,"Impact of Hypovolemic Phlebotomy with Low Central Venous Pressure on Intraoperative Blood Loss in Open Liver Resection: A Double-Blind Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005744061&doi=10.1097%2fSLA.0000000000006760&partnerID=40&md5=852714190d5f305ba1bc822aca988756
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Asia,100,NA,Yes,Yes,rate of CCI<40,Yes,No,No,0,Median,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = introp blood loss reduction of 30%,10.1097/SLA.0000000000006760,2025,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size calculation, based on the primary outcome of intraoperative blood loss, used mean and standard deviation data from our pilot study. A two-sample comparison of means with an alpha level of 0.05 and power of 90% indicated a minimum of 38 patients per group. To account for an anticipated 30% dropout rate, we planned to recruit 50 patients per group.",No,Not mentioned,NA,NA
NCT00478348),Publication,912,"Drain Versus No Drain in Open Mesh Repair for Incisional Hernia, Results of a Prospective Randomized Controlled Trial",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144122315&doi=10.1007%2fs00268-022-06725-4&partnerID=40&md5=a1c04d0c4726782fd2c90be9a151ffe1,NA,Not pilot study,No,No,Abdominal Surgery,Europe,144,NA,Yes,Yes,3 categories,No,NA,NA,NA,NA,NA,NA,"No protocol,registry",No,NA, , ,10.1007/s00268-022-06725-4,2023,CCI non-primary endpoint,No,Yes,No,Yes,No,"The complication rate in the drainage group was estimated to reach 20%. No prospective study comparing drainage and without drainage was available in the literature when the study was started. Rates of complications were estimated according to a consensus between surgeons participating to the study. We hypothesized that the absence of drainage would decrease the occurrence of either surgical site infection, seroma, hematoma, or early hernia recurrence by 50% within 30 days after surgery. The sample size was calculated with an 80% power; and a significance level with a p-value under 0.05 was established. The sample size calculation according to power yielded 398 patients. Approximately 60 patients per year present an incisional hernia requiring surgery. With a participation rate of 80% among eligible patients, the study was estimated to last over 8 years. A second hospital was included to reduce the study duration. The study was however prematurely interrupted due to the emergence of concurrent minimally invasive techniques and the number of 398 patients was not reached. ",No,Not mentioned,NA,NA
NCT03138213,Publication,1121,"Laparoscopic versus open pancreatoduodenectomy for pancreatic or periampullary tumours: a multicentre, open-label, randomised controlled trial",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106279495&doi=10.1016%2fS2468-1253%2821%2900054-6&partnerID=40&md5=20a6a71405a4eac09a8941ca486412f3,NA,Not pilot study,No,No,Abdominal Surgery,Asia,656,NA,Yes,No,na,Yes,No,No,8.7,Median,NA,NA,Protocol published,No,NA, , ,10.1016/S2468-1253(21)00054-6,2021,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size was calculated according to the length of stay. In a previous study, a mean reduction of 2·95 days was observed for patients undergoing LPD versus OPD, with a standard deviation of 12·3 days.30 Assuming that the length of stay in the OPD group would be 12 days,11 for a two-sided test with a power (1–β) of 80% and a significance level (α) of 5%, the minimum number of patients required in each group was 274 (α=0·05, β=0·2, power=0·8). Considering an expected dropout rate of 20%, we established that each group required at least 328 patients. This number also included a 10% crossover rate (conversions between the groups due to patients' preference changing before surgery but after randomisation or conversions to the open procedure during the surgery) from laparoscopic to open surgery and a loss to follow-up of 2%.",No,Not mentioned,NA,NA
